sale_id,customer_id,product_id,quantity,unit_price,total_value,sale_date
SALE001,CUST001,PROD001,2,1999.99,3999.98,2024-01-15
SALE002,CUST002,PROD002,1,499.99,499.99,2024-01-16
SALE003,CUST003,PROD003,3,299.99,899.97,2024-01-17
SALE004,CUST001,PROD002,1,499.99,499.99,2024-01-18
SALE005,CUST004,PROD001,1,1999.99,1999.99,2024-01-19
SALE006,CUST005,PROD004,2,149.99,299.98,2024-01-20
SALE007,CUST002,PROD003,1,299.99,299.99,2024-01-21
SALE008,CUST006,PROD002,3,499.99,1499.97,2024-01-22
SALE009,CUST007,PROD001,1,1999.99,1999.99,2024-01-23
SALE010,CUST008,PROD004,5,149.99,749.95,2024-01-24
SALE011,CUST009,PROD003,2,299.99,599.98,2024-01-25
SALE012,CUST010,PROD002,1,499.99,499.99,2024-01-26
SALE013,CUST011,PROD001,2,1999.99,3999.98,2024-01-27
SALE014,CUST012,PROD004,3,149.99,449.97,2024-01-28
SALE015,CUST013,PROD003,1,299.99,299.99,2024-01-29
SALE016,CUST014,PROD002,2,499.99,999.98,2024-01-30
SALE017,CUST015,PROD001,1,1999.99,1999.99,2024-02-01
SALE018,CUST016,PROD004,4,149.99,599.96,2024-02-02
SALE019,CUST017,PROD003,3,299.99,899.97,2024-02-03
SALE020,CUST018,PROD002,1,499.99,499.99,2024-02-04
